nama_produk,harga,lokasi,rating,terjual
GELANG BANGLE SHIMMER C -  EMAS 17K - BUNGA TANJUNG GOLD,21.896.000,Pilih Lokal,5.0,1 terjual
GELANG RUMBAI LOVELY SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,13.372.000,Pilih Lokal,5.0,1 terjual
GELANG FASHION PAPERCLIP VARIASI TAS - EMAS 17K - BUNGA TANJUNG GOLD,30.022.000,Pilih Lokal,5.0,2 terjual
GELANG BANGLE KIANA THREE LAYER - EMAS 17K - BUNGA TANJUNG GOLD,21.362.000,,4.9 Penilaian Toko,
GELANG HERME RUMBAI FLOWER HATI KH - EMAS 17K - BUNGA TANJUNG GOLD,22.549.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SOLENE DJUJU FLOWER LEAF - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,14.656.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SIMPUL B - EMAS 17K - BUNGA TANJUNG GOLD,24.385.000,Pilih Lokal,5.0,2 terjual
GELANG BANGLE ULAR B - EMAS 17K - BUNGA TANJUNG GOLD,23.195.000,Pilih Lokal,5.0,1 terjual
GELANG BOBBA CLOVER BLINK - EMAS 17K - BUNGA TANJUNG GOLD,13.786.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP ARSIR E - EMAS 17K - BUNGA TANJUNG GOLD,22.549.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIARA WAVE - EMAS 17K - BUNGA TANJUNG GOLD,11.275.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE LUXURY A BOLD - EMAS 18K - BUNGA TANJUNG GOLD,18.754.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIANA PRSM - EMAS 17K - BUNGA TANJUNG GOLD,14.904.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP VARIASI KUNCI GEMBOK - EMAS 17K - BUNGA TANJUNG GOLD,24.948.000,Pilih Lokal,5.0,5 terjual
GELANG PAKU B - EMAS 17K - BUNGA TANJUNG GOLD,31.752.000,Pilih Lokal,4.9,21 terjual
GELANG BANGLE LUNAR SISIK ULAR   - EMAS 17K - BUNGA TANJUNG GOLD,15.152.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU HATI WAVE - EMAS 17K - BUNGA TANJUNG GOLD,18.743.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE WAVE MATA - EMAS 17K - BUNGA TANJUNG GOLD,13.897.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE DIVYA CHEETAH - EMAS 17K - BUNGA TANJUNG GOLD,17.567.000,Pilih Lokal,5.0,1 terjual
GELANG VAR 65 - EMAS 17K - BUNGA TANJUNG GOLD,10.801.500,Pilih Lokal,5.0,2 terjual
GELANG BANGLE KIPAS C - EMAS 17K - BUNGA TANJUNG GOLD,13.245.000,,4.9 Penilaian Toko,
GELANG SERUT HOLOGRAM PITA HATI BLINK - EMAS 17K - BUNGA TANJUNG GOLD,5.962.000,Pilih Lokal,5.0,2 terjual
GELANG BANGLE TINJU CHERYL BOLD - EMAS 18K - BUNGA TANJUNG GOLD,21.114.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BOBBA BUBBLE POP RUMBAI WARNA - EMAS 17K - BUNGA TANJUNG GOLD,10.488.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP SHIMMER A - EMAS 17K - BUNGA TANJUNG GOLD,14.426.000,Pilih Lokal,5.0,2 terjual
GELANG BANGLE SEASHELL B DA-YUNG - EMAS 17K - BUNGA TANJUNG GOLD,11.426.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG TINJU BOLA - EMAS 17K - BUNGA TANJUNG GOLD,11.340.000,Pilih Lokal,4.9,209 terjual
GELANG BANGLE KIANA CLASSIC BLINK - EMAS 17K - BUNGA TANJUNG GOLD,10.184.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIARA WAVE BUBBLE BLINK - EMAS 17K - BUNGA TANJUNG GOLD,11.799.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG LUXURY CHAIN VARIASI PITA B - EMAS 17K - BUNGA TANJUNG GOLD,24.601.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG LISTRING SISIK NAGA - EMAS 17K - BUNGA TANJUNG GOLD,17.961.000,Pilih Lokal,5.0,2 terjual
GELANG BANGLE UNLIMITED RAINBOW SQUARE - EMAS 17K - BUNGA TANJUNG GOLD,11.799.000,Pilih Lokal,5.0,2 terjual
GELANG SERUT CLOVER BOBBA - EMAS 17K - BUNGA TANJUNG GOLD,7.605.000,Pilih Lokal,5.0,28 terjual
GELANG BANGLE SHIMMER D - EMAS 17K - BUNGA TANJUNG GOLD,16.394.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE WAVE BLINK A -  EMAS 17K - BUNGA TANJUNG GOLD,10.805.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG NEW ARRIVAL 1 - EMAS 17K - BUNGA TANJUNG GOLD,15.898.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE BUNGA BLINK - EMAS 17K - BUNGA TANJUNG GOLD,18.092.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG REFLECTA SERUT FANIA CUBETTI - EMAS 18K - BUNGA TANJUNG GOLD,15.750.000,,4.9 Penilaian Toko,
GELANG SISIK NAGA HATI E - EMAS 17K - BUNGA TANJUNG GOLD,14.616.000,Pilih Lokal,4.7,7 terjual
GELANG RUMBAI LOCK LOVE PITA - EMAS 17K - BUNGA TANJUNG GOLD,10.184.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG WILLOW LEAF DAUN CLOVER ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,14.159.000,,4.9 Penilaian Toko,
GELANG WILLOW LEAF CLOVER ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,14.159.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SUPER FLAT X CLOVER HITAM - EMAS 17K - BUNGA TANJUNG GOLD,15.401.000,3 terjual,5.0,
GELANG DISNEY HOLLOW MICKEY - EMAS 17K - BUNGA TANJUNG GOLD,31.298.000,3 terjual,5.0,
GELANG BANGLE HATI SWEETY WARNA - EMAS 17K - BUNGA TANJUNG GOLD,12.420.000,,4.9 Penilaian Toko,
GELANG PAPERCLIP FLOREA - EMAS 17K - BUNGA TANJUNG GOLD,11.668.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG NEW ARRIVAL 7 - EMAS 17K - BUNGA TANJUNG GOLD,18.354.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HERME KELLY POLOS - EMAS 17K - BUNGA TANJUNG GOLD,24.822.000,Pilih Lokal,4.9,20 terjual
GELANG BANGLE UNLIMITED BUBBLE RING - EMAS 17K - BUNGA TANJUNG GOLD,28.814.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT LUXURY LY - EMAS 17K - BUNGA TANJUNG GOLD,9.261.000,Pilih Lokal,4.5,2 terjual
